Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,MOD,DSTL,Science and Technology Oriented Research and development in Missile defence (STORM) Framework Agreement,ROKE MANOR RESEARCH LTD,Quality of Contractor Deliverables,Equal to or above 95 percent of Contractor Deliverables accepted by the Authority first time,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,In-Service Capability Management ND-0439,CARBON60 LIMITED,All active In-Service Capability Management Service risks are recorded in Navy Digital Project-on-Line risk register and are reviewed and updated. Any tasks issued by the authority to rectify or manage risks have been completed within any agreed timescales.,"All risks recorded, reviewed, managed and rectified within set timescales",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,"Policy, Strategy and Technical Capability Integration Service for MDA Programme.",CARBON60 LIMITED,"The service is to generate of the Maritime Domain Awareness (MDA) Programme AP0 at the start of the Financial Year (FY), submission to the ABC planning round and AP12 End of Year turnout",Chief Digital Information Officer (CDIO) accepts the ABC report,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,100 Meter Modular Portable Indoor Ranges,ACTIFORM LIMITED,Installation of items within agreed timescales ,Early or on agreed date,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,PROVISION OF TECHNICAL SUPPORT SERVICES TO MARITIME OPERATIONAL DOMAIN C5ISR SYS,CARBON60 LIMITED,All OPDEFs (Operational Defects) at Category B2 and above are to have a response to the issuing unit within 4 hours of receiving the notification ,Within 4 hours,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,Royal Navy Software House,DIGI2AL LIMITED,Time taken for the supplier to maintain current service readiness after a service gap is identified,All services delivered in full from agreed dates,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,"Service Level Agreement for Catering, Retail & Leisure Facilities Management Services for British Army Germany",THE ROYAL NAAFI,Consumer Satisfaction,Over 80 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,In-Service Capability Management ND-0439,CARBON60 LIMITED,Provide monthly summary report of activity in relation to Service Management Outcomes (Function 4). Must be full and accurate by the 10th day of the month.,Full and accurate report provided on or before the due date.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Other HOCS,New Deloitte Consultancy Support Contract to the AFRP,DELOITTE MCS LIMITED,Standard of support provided in line with the current tasking order.,Where the percentage translated from the scoring system in place is 90 percent or greater.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,PROVISION OF TECHNICAL SUPPORT SERVICES TO MARITIME OPERATIONAL DOMAIN C5ISR SYS,CARBON60 LIMITED,social value,2 or more,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,"Pre-Entry Medical Assessment Services for the RN, RM and Reserves",PERTEMPS MEDICAL LIMITED,social value,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,SUPPLY OF SUPPORT VEHICLES AND THEIR ASSOCIATED SUPPORT PACKAGES-GSV/3/03,RHEINMETALL MAN MILITARY VEHICLES UK LTD,Publications,95 percent or above,Good,Yes,"As part of RMMV’s Continuous Improvement Initiative, backlog reduction activities were prioritised during February, with improved KPI performance demonstrated in the months thereafter"
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,Provision of SCIO Developer Services,CARBON60 LIMITED,"Composite score combining successful application delivery, code quality, and system integration metrics","All of the following are met: applications delivered on time , with zero non-critical bugs, with zero critical bugs, over 80 percent test coverage, complete integrations.",Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,DSCOMCB2255 Provision of Interim Strategic Sealift,FORELAND SHIPPING LTD,Governance and Reporting,95 percent and over,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,THE PROVISION OF A GLOBAL MEDICAL SUPPORT SERVICES,HEALIX INTERNATIONAL LTD,Service,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Provision of Temporary Healthcare Workers for Ministry of Defence,HONEYBEERECRUITMENT.COM LTD,Fill of Placement,80 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,"10 Year Contract: Project SOCIETAS Parent CPA at a capped value of £160,000,000.",QINETIQ LIMITED,social value,Greater than 90 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Provision of an Inpatient and Outpatient Mental Health Service,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Contractor to provide an admission bed in a suitable facility within 4 hours of request,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Operational Analysis and Data Science Support,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Quality of Deliverable,100 Percent,Good,Yes,KPI 4 n/a this quarter as annual report
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,SUPPLY OF UK AGENCY FUEL CARDS,ALLSTAR BUSINESS SOLUTIONS LTD,Accurate and timely billing by buyer,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Provision of Linguistic Services for UK MoD Global and UK based Operations,WORLDWIDE LANGUAGE RESOURCES LTD,Adherence to the Task Order Form process and the timelines,90 - 100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,713551450 - Combined Logistics EPA Contract,EXPLOSIVE LEARNING SOLUTIONS LIMITED,Prompt EPA Booking,85 percent (or more) within 10 working days; and 95 percent (or more) within 12 working days,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,"RM6182/MOD/2024 Occupational Health, EAP and BHDV helpline Services",OPTIMA HEALTH UK LIMITED,"Health Surveillance & Fitness for Task: All health surveillance, monitoring, and specialist fit for task assessments and reports to be completed within ten (10) working days of referral, or escalation for a further consultation of this type by the supplier.",95 to 100 percent,Good,Yes,The supplier has decided they do not wish to publish any comments against this particular KPI.
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Wheeled Tanker In-Service Support,"OSHKOSH DEFENSE, LLC",Technical Advice and Assistance - Time taken by the Contractor to deploy at the Authority specified location or to formally submit a response to a Project Advice Request,95 percent,Good,Yes,"The fall in performance during this period was predominantly caused by factors outside of Oshkosh’s control impacting on deliveries during the month of Feb.  There was in improvement in Mar, which Oshkosh will aim to continue in the coming months. Oshkosh will continue to work closely with the Authority to better understand and mitigate against external factors, whilst also working with the Supply Chain and network of suppliers, to improve on-time delivery."
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Obsolescence Rectification and Re-Design of TMCC with In Service Support,JFD LIMITED,Response time and management for S2022 defects,All S2022s closed within stated period,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,Legal Services for Litigated Compensation Claims in England and Wales,KEOGHS LLP,Social value,"Good (95-100 percent)?
Comprehensive evidence of progress against suppliers' commitment to provide SV through wellbeing and equal opportunity.",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,704839450 Project DARTROSE Provision and Support of Medium Size Explosive Ordinance Disposal (EOD) Remote Control Vehicle (RCV),L3HARRIS TRL TECHNOLOGY LTD,Spares to Stock Replenishment spares are to be delivered by the Contractor to Stores for continuing through life support of the platform.,95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,Provision of National Accommodation Management Services for Service Families Ac,PINNACLE HOUSING LIMITED,Social Value,80 percent or greater of Acceptable Level of Performance,Good,Yes,KPI 2 has some dependency on delivery by other MOD contractors
FY25-26 Q4 Jan-Feb-Mar,MOD,Air Command,AIR TRAFFIC CONTROL SERVICES,NATS (EN ROUTE) PUBLIC LIMITED COMPANY,Record and Replay (R and R) - Availability of the provision of R and R Services within contracted timescales to RAF Air Traffic Control Officers within the monthly period,Greater than 95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Provision of Community Healthcare (CHC) Services to British Forces Cyprus,SSAFA FAMILY HEALTH SERVICES,Post-natal contact is to be made within twenty-four (24) hours of discharge.,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,PROJECT AQUATRINE- TO DELIVER WATER AND WASTE WATER SERVICES TO GB BASED MOD SITES REMOVING THE MOD FROM ENVIRONMENTAL AND LEGISLATIVE RISKS.,VEOLIA WATER NEVIS LIMITED,Collect and dispose of sewage and surface water safely and hygienically from all points of sewage and surface water receipt.,Greater than or equal to 98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,BATUK Aviation - Lot Two SOE,ABERDAIR AVIATION LIMITED,"The Supplier shall provide one platform available to conduct Range Clearance (RC)/General Aviation Support (GAS)/Arial Fire Fighting (AFF). In order to be deemed available the aircraft shall comply with the readiness states (RS) defined in the Statement of Requirements (SOR), be crewed by current competent, qualified and experienced personnel, comply with Kenyan Civil Aviation Authority (KCAA) regulations, be equipped with all safety equipment, have the aircraft fuelled and refuels available and be fully maintained and serviced in accordance with KCAA Regulations. ",All aspects of availability are reported on time by the Supplier in a phone call to the BATUK point of contact (POC). ,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,SUPPORT SOLUTION FOR AIRCRAFT ARRESTOR SYSTEMS - PHAG&RHAG,MARSHALL LAND SYSTEMS LTD,The Authority requires the Contractor to satisfy demands for Rotary Hydraulic Arrestor Gear (RHAG) spares by Required Delivery Date (RDD) and satisfy undertaking of repairs and maintenance in accordance with the requirements of the Statement of Work,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Air Command,"Electro-Mechanical Training Contract.
",BABCOCK LAND DEFENCE LIMITED,Contractor provided Course Design,"100 percent attendance of monthly meetings by contractor representative, including the provision of progress reports.  Availability of Suitably Qualified and Experienced Person Subject Matter Expert Trainers at an agreed rate in accordance with the Statement of Requirement dedicated to Course Design work.",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,HESTIA SCOTLAND AND NORTHERN IRELAND MULTI ACTIVITY CONTRACT,ARAMARK DEFENCE SERVICES LIMITED,"Soft Facilities Management (FM) Availability
Intent - To monitor instances that contracted services have not been delivered (i.e. Service Defects)
Definition - Service Defect: An occurrence of non-delivery e.g. A contractor fails to provide breakfast in the Junior Ranks Mess",97 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,709647453.2 SPA Lot 3,G L HEARN LIMITED,"Return of Tasking Orders in accordance with the Tasking Order Process – Supplier.  The Supplier is to ensure that the finalised Part 2 of the Tasking Order is returned to the DIO within 10 working days. Pricing must be justifiable and in line with the pricing schedule set out in the Suppliers' contract, as well as any third-party costs being fully supported with letter-headed quotation and breakdown of cost in line with DIO's Pricing Annex expectations.","90.00percent or above of Tasking Orders returned within required timescale and pricing is in line with pricing schedule, with all third-party costs fully supported as required",Inadequate,Yes,"KPI 2 - Tasking Orders included new elements of work which took longer than allowed 10 days to source the right team members to tackle. Once team members were identified, quotes were prepared and submitted shortly after the initial deadlines.
HRN019 – Building Surveying on SFA
HRN020 – DIO requested a new master planner
HRN021 – new site, which requires local agent input
HRN022 – withdrawn following discussion with client
HRN023 – new QS role requiring specialist input on flood defences
Greater notice that specialist/new inputs are required will help line up appropriate team members. PM’s to discuss with Case Officers

KPI 4 - Sourcing a new training activity remains a priority to improve this. Examining best practice elsewhere in firm to see what can be adapted for use on SPA."
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DCO Security Information and Event Management Capability Elastic Licences,CENTERPRISE INTERNATIONAL LTD,Monthly status of usage report showing license utilisation across each of the respective tools provided under this contract.,95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,"""Typhoon Engine Support
Solution (TESS)""
",ROLLS-ROYCE PLC,Engine Delivery,100 percent,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DCO Security Information and Event Management Capability Elastic Licences,CENTERPRISE INTERNATIONAL LTD,"Provide skilled and experienced resources as per contract to meet Professional Services requests, report usage, outcomes achieved monthly", 95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,ICT Engineering,CARBON60 LIMITED,"Ensure all MCSU (Maritime C4ISR (C4ISR: command, control, computers, communications, intelligence, surveillance and reconnaissance) Support Unit's) CCUs (Certificate of Clearance for Use) in date for review",100 percent in date,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,DOTC (air) - Design & Build Phase,BOEING DEFENCE UK LTD,The percentage of approved model and data tasks delivered to the agreed schedules in the reporting period,Greater than 95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,BATUK Aviation - Lot One MEDEVAC,EVERETT AVIATION CHARTER LTD,"Ground Ambulance – Helicopter Landing Site (HLS) Response. The Supplier shall ensure one available and reliable ground ambulance is available 24/7/365. To be deemed available and reliable the ground ambulance shall meet the response times as per the Statement of Requirement (SoR) and be situated at the designated landing site ready to conduct takeover of the patient from the air MEDEVAC platform to the Aga Khan Hospital, be suitably equipped and configured to continue patient care with a communication system as per the SoR, be manned by a minimum of one qualified person in pre emergency care to Level 5, be able to transfer the patient and continue care in the correct configuration, be a fully serviceable ground ambulance maintained and operated within Kenyan Road Transport Regulations and be driven by a competent driver backed up with a trained mechanic and despatch team.",The ground ambulance is at the Helicopter Landing Site (HLS) to meet the air MEDEVAC platform and successfully hands over the patient as confirmed by the Medical Liaison Officer.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,PS546: Commercial X Programme – Commercial as a Service,INVESTIGO LIMITED,"Service delivered on time, in full, to the required quality against the agreed outcomes/outputs/deliverables and in accordance with the contract.",95-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,"701779452 - The Provision of Interim Actors, Audiences, Adversaries, Enemies and Specialists (A3ES) - Project Numidian
",CALIAN UK LTD,Event Delivery,No instances of a breach of the Event Delivery KPI,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,"Airlift Services Framework Lot 1
",MAERSK LOGISTICS AND SERVICES UK LTD,Fulfilment of Authority requirement on time and within agreed scope of the order.,95 percent and over,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,CCLL19A01- LOT 1 - The Provision of Litigation Lawyers for the MOD.,KEOGHS LLP,To ensure accurate allocation of reserves,09-10,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,High Performance Hard Body Armour System,LEVEL PEAKS ASSOCIATES LTD.,Social Value: Wellbeing,Pass - On Track,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,"Airlift Services Framework Lot 1
",MAERSK LOGISTICS AND SERVICES UK LTD,Bidding for each Request for Quotation (RFQ) within the Authority timescales.,95 percent and over,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,THE PROVISION OF THE JOINT OPERATIONAL FUEL SYSTEM (JOFS) CAPABILITY-DEPI/0002,KELLOGG BROWN & ROOT LIMITED,KPI 1b (Provision of Spares),(Green) All Spares Supply Targets Met,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,ARMADA PROJECT,FALCON SUPPORT SERVICES LIMITED,Non Statutory Planned Preventative Maintenance Performance,96-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,Sustainment of Digital and Technical Services for the Naval Digital Hosting Serv,CARBON60 LIMITED,"Resolution rate of all Navy Digital Hosting (within Navy Digital Hosting boundary and contractual obligations) related P1-P4 (Priority 1 - Priority 4) incidents as per response times defined in Table 10 – Priority resolution timescales.
Start: 1st working day of month
Finish: Last working day of month",All incidents resolved within target resolution times.   ,Good,Yes,
